source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,0,393,0,0,0,1,-0.0626666,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.908397,0.0407125,0.0508906,0.0916031,0,0,0
baseline,1,2010,female,0,377,0,0,0,0,-0.0100404,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.920424,0.0371353,0.0424403,0.0795756,0,0,0
baseline,1,2010,male,1,391,1,1,1,1,-0.0672177,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0358056,0,0,0.00255754,0,0.0252295,0,0,0.877238,0.056266,0.0664962,0.122762,0,2522.95,2522.95
baseline,1,2010,female,1,375,1,1,1,0,0.129514,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0373333,0,0,0.00533333,0,0.0274284,0,0,0.904,0.048,0.048,0.096,0,2742.84,2742.84
baseline,1,2010,male,2,390,2,4,8,1,-0.00839773,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0410256,0,0,0.0025641,0,0.0252295,0,0,0.802564,0.0974359,0.1,0.197436,0,2522.95,2522.95
baseline,1,2010,female,2,373,2,4,8,0,-0.0524184,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0616622,0,0,0.0080429,0,0.0274284,0,0,0.823056,0.0589812,0.117962,0.176944,0,2742.84,2742.84
baseline,1,2010,male,3,392,3,9,27,1,0.0215298,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0306122,0,0,0.00510204,0,0.0252295,0,0,0.732143,0.109694,0.158163,0.267857,0,2522.95,2522.95
baseline,1,2010,female,3,374,3,9,27,0,-0.0893552,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0374332,0,0,0.00802139,0,0.0274284,0,0,0.705882,0.136364,0.157754,0.294118,0,2742.84,2742.84
baseline,1,2010,male,4,392,4,16,64,1,0.0221251,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0586735,0,0,0.0153061,0,0.0252295,0,0,0.607143,0.147959,0.244898,0.392857,0,2522.95,2522.95
baseline,1,2010,female,4,375,4,16,64,0,-0.0966144,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.04,0,0,0.016,0,0.0274284,0,0,0.610667,0.16,0.229333,0.389333,0,2742.84,2742.84
baseline,1,2010,male,5,388,5,25,125,1,-0.0573057,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0670103,0,0,0.00257732,0,0.0319848,0,0,0.512887,0.201031,0.286082,0.487113,0,3198.48,3198.48
baseline,1,2010,female,5,370,5,25,125,0,-0.0733783,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0324324,0,0,0.0108108,0,0.03555,0,0,0.508108,0.281081,0.210811,0.491892,0,3555,3555
baseline,1,2010,male,6,386,6,36,216,1,-0.112641,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0388601,0,0,0.0129534,0,0.0319848,0,0,0.476684,0.253886,0.26943,0.523316,0,3198.48,3198.48
baseline,1,2010,female,6,369,6,36,216,0,-0.0688688,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0271003,0,0,0.0135501,0,0.03555,0,0,0.490515,0.300813,0.208672,0.509485,0,3555,3555
baseline,1,2010,male,7,387,7,49,343,1,-0.0596337,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0413437,0,0,0.0103359,0,0.0319848,0,0,0.48062,0.330749,0.18863,0.51938,0,3198.48,3198.48
baseline,1,2010,female,7,370,7,49,343,0,-0.0349652,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0459459,0,0,0.0216216,0,0.03555,0,0,0.554054,0.308108,0.137838,0.445946,0,3555,3555
baseline,1,2010,male,8,392,8,64,512,1,-0.0746091,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0561224,0,0,0.0153061,0,0.0319848,0,0,0.533163,0.316327,0.15051,0.466837,0,3198.48,3198.48
baseline,1,2010,female,8,375,8,64,512,0,-0.00452202,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.04,0,0,0.0106667,0,0.03555,0,0,0.589333,0.282667,0.128,0.410667,0,3555,3555
baseline,1,2010,male,9,399,9,81,729,1,0.0436374,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.0526316,0,0,0.0250627,0,0.0319848,0,0,0.516291,0.37594,0.107769,0.483709,0,3198.48,3198.48
baseline,1,2010,female,9,381,9,81,729,0,0.0748032,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0682415,0,0,0.023622,0,0.03555,0,0,0.614173,0.301837,0.0839895,0.385827,0,3555,3555
baseline,1,2010,male,10,398,10,100,1000,1,-0.151055,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0477387,0,0,0.0201005,0,0.0489486,0,0,0.605528,0.316583,0.0778894,0.394472,0,4894.86,4894.86
baseline,1,2010,female,10,379,10,100,1000,0,-0.0777581,147.07,100.127,3.19378,3170.52,2333.51,18.5438,0,0.0501319,0,0,0.0422164,0,0.0622047,0,0,0.659631,0.30343,0.0369393,0.340369,0,6220.47,6220.47
baseline,1,2010,male,11,391,11,121,1331,1,0.0693531,179.591,112.537,3.48432,3863.09,2841.52,18.9925,0,0.0383632,0,0,0.028133,0,0.0489486,0,0,0.636829,0.30179,0.0613811,0.363171,0,4894.86,4894.86
baseline,1,2010,female,11,371,11,121,1331,0,-0.0274209,149.044,101.677,3.26502,3215.92,2317,18.8242,0,0.0619946,0,0,0.0539084,0,0.0622047,0,0,0.730458,0.226415,0.0431267,0.269542,0,6220.47,6220.47
baseline,1,2010,male,12,385,12,144,1728,1,-0.0515398,184.363,115.357,3.58466,3959.55,2796.59,19.2328,0,0.0623377,0,0,0.0415584,0,0.0489486,0,0,0.680519,0.275325,0.0441558,0.319481,0,4894.86,4894.86
baseline,1,2010,female,12,366,12,144,1728,0,0.0130353,151.016,103.247,3.33733,3262.74,2299.25,19.3363,0,0.068306,0,0,0.0464481,0,0.0622047,0,0,0.748634,0.226776,0.0245902,0.251366,0,6220.47,6220.47
baseline,1,2010,male,13,382,13,169,2197,1,0.0581932,189.623,118.504,3.69839,4065.58,2769.69,19.6261,0,0.0942408,0,0,0.0340314,0,0.0489486,0,0,0.696335,0.287958,0.0157068,0.303665,0,4894.86,4894.86
baseline,1,2010,female,13,363,13,169,2197,0,-0.00388551,153.076,104.876,3.41291,3311.85,2290.44,19.4624,0,0.0661157,0,0,0.0578512,0,0.0622047,0,0,0.785124,0.198347,0.0165289,0.214876,0,6220.47,6220.47
baseline,1,2010,male,14,383,14,196,2744,1,0.0307426,195.512,122.131,3.83226,4186.46,2782.48,19.6933,0,0.0522193,0,0,0.0261097,0,0.0489486,0,0,0.775457,0.198433,0.0261097,0.224543,0,4894.86,4894.86
baseline,1,2010,female,14,365,14,196,2744,0,0.00160435,155.309,106.617,3.49611,3364.25,2314.44,19.9337,0,0.0575342,0,0,0.0547945,0,0.0622047,0,0,0.813699,0.178082,0.00821918,0.186301,0,6220.47,6220.47
baseline,1,2010,male,15,378,15,225,3375,1,-0.00597828,202.099,126.365,3.99005,4326.49,2874.8,20.2857,0,0.0449735,0,0,0.0343915,0,0.0662947,0,0,0.780423,0.198413,0.021164,0.219577,0,6629.47,6629.47
baseline,1,2010,female,15,360,15,225,3375,0,0.0225925,157.763,108.529,3.59212,3420.39,2413.98,20.5018,0,0.075,0,0,0.0722222,0,0.0918014,0,0,0.805556,0.186111,0.00833333,0.194444,0,9180.14,9180.14
baseline,1,2010,male,16,376,16,256,4096,1,0.0593855,209.228,131.207,4.16841,4485.54,3102.54,20.4351,0,0.0771277,0,0,0.0531915,0,0.0662947,0,0,0.832447,0.138298,0.0292553,0.167553,0,6629.47,6629.47
baseline,1,2010,female,16,359,16,256,4096,0,-0.0232095,160.411,110.639,3.70392,3478.99,2644.63,20.7114,0,0.0640669,0,0.00278552,0.0612813,0,0.0918014,0,0,0.835655,0.16156,0.00278552,0.164345,0,9180.14,9180.14
