source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,0,393,0,0,0,1,0.0583006,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.905852,0.0407125,0.0534351,0.0941476,0,0,0
baseline,1,2010,female,0,377,0,0,0,0,-0.0102663,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.917772,0.0371353,0.0450928,0.0822281,0,0,0
baseline,1,2010,male,1,391,1,1,1,1,0.0711783,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0306905,0,0,0.00255754,0,0.0252295,0,0,0.905371,0.0511509,0.0434783,0.0946292,0,2522.95,2522.95
baseline,1,2010,female,1,375,1,1,1,0,0.05384,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0213333,0,0,0.008,0,0.0274284,0,0,0.856,0.08,0.064,0.144,0,2742.84,2742.84
baseline,1,2010,male,2,390,2,4,8,1,-0.0233715,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0358974,0,0,0.00769231,0,0.0252295,0,0,0.841026,0.0794872,0.0794872,0.158974,0,2522.95,2522.95
baseline,1,2010,female,2,373,2,4,8,0,0.073183,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0455764,0,0,0.00536193,0,0.0274284,0,0,0.83378,0.0884718,0.077748,0.16622,0,2742.84,2742.84
baseline,1,2010,male,3,392,3,9,27,1,0.0650645,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0535714,0,0,0.00510204,0,0.0252295,0,0,0.693878,0.135204,0.170918,0.306122,0,2522.95,2522.95
baseline,1,2010,female,3,374,3,9,27,0,0.0380233,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0347594,0,0,0.00534759,0,0.0274284,0,0,0.708556,0.144385,0.147059,0.291444,0,2742.84,2742.84
baseline,1,2010,male,4,392,4,16,64,1,0.0536318,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0510204,0,0,0.00765306,0,0.0252295,0,0,0.614796,0.102041,0.283163,0.385204,0,2522.95,2522.95
baseline,1,2010,female,4,375,4,16,64,0,-0.0339918,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.0293333,0,0,0.008,0,0.0274284,0,0,0.613333,0.186667,0.2,0.386667,0,2742.84,2742.84
baseline,1,2010,male,5,388,5,25,125,1,-0.0755943,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0618557,0,0,0.00773196,0,0.0319848,0,0,0.502577,0.198454,0.298969,0.497423,0,3198.48,3198.48
baseline,1,2010,female,5,370,5,25,125,0,-0.00392653,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0405405,0,0,0.0216216,0,0.03555,0,0,0.516216,0.248649,0.235135,0.483784,0,3555,3555
baseline,1,2010,male,6,386,6,36,216,1,0.0315135,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0466321,0,0,0.015544,0,0.0319848,0,0,0.479275,0.259067,0.261658,0.520725,0,3198.48,3198.48
baseline,1,2010,female,6,369,6,36,216,0,-0.0261449,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0433604,0,0,0.0216802,0,0.03555,0,0,0.528455,0.246612,0.224932,0.471545,0,3555,3555
baseline,1,2010,male,7,387,7,49,343,1,0.0675569,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0645995,0,0,0.00775194,0,0.0319848,0,0,0.511628,0.289406,0.198966,0.488372,0,3198.48,3198.48
baseline,1,2010,female,7,370,7,49,343,0,-0.0282862,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0486486,0,0.0027027,0.0243243,0,0.03555,0,0,0.510811,0.359459,0.12973,0.489189,0,3555,3555
baseline,1,2010,male,8,392,8,64,512,1,0.00820467,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0714286,0,0,0.0229592,0,0.0319848,0,0,0.515306,0.34949,0.135204,0.484694,0,3198.48,3198.48
baseline,1,2010,female,8,375,8,64,512,0,0.015012,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.0506667,0,0,0.0266667,0,0.03555,0,0,0.536,0.370667,0.0933333,0.464,0,3555,3555
baseline,1,2010,male,9,399,9,81,729,1,-0.0567172,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.0601504,0,0,0.0100251,0,0.0319848,0,0,0.536341,0.353383,0.110276,0.463659,0,3198.48,3198.48
baseline,1,2010,female,9,381,9,81,729,0,-0.0238775,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0341207,0,0,0.0419948,0,0.03555,0,0,0.585302,0.356955,0.0577428,0.414698,0,3555,3555
baseline,1,2010,male,10,398,10,100,1000,1,0.0193562,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0653266,0,0,0.0301508,0,0.0489486,0,0,0.613065,0.319095,0.0678392,0.386935,0,4894.86,4894.86
baseline,1,2010,female,10,379,10,100,1000,0,0.00336063,147.07,100.127,3.19378,3170.52,2333.51,18.5438,0,0.0448549,0,0,0.0237467,0,0.0622047,0,0,0.686016,0.255937,0.0580475,0.313984,0,6220.47,6220.47
baseline,1,2010,male,11,391,11,121,1331,1,-0.00910416,179.591,112.537,3.48432,3863.09,2841.52,18.9925,0,0.0485934,0,0,0.0179028,0,0.0489486,0,0,0.618926,0.337596,0.0434783,0.381074,0,4894.86,4894.86
baseline,1,2010,female,11,371,11,121,1331,0,-0.035647,149.044,101.677,3.26502,3215.92,2317,18.8242,0,0.0619946,0,0,0.0377358,0,0.0622047,0,0,0.722372,0.239892,0.0377358,0.277628,0,6220.47,6220.47
baseline,1,2010,male,12,385,12,144,1728,1,0.061156,184.363,115.357,3.58466,3959.55,2796.59,19.2328,0,0.0779221,0,0,0.0155844,0,0.0489486,0,0,0.65974,0.288312,0.0519481,0.34026,0,4894.86,4894.86
baseline,1,2010,female,12,366,12,144,1728,0,-0.0386489,151.016,103.247,3.33733,3262.74,2299.25,19.3363,0,0.0819672,0,0,0.0355191,0,0.0622047,0,0,0.724044,0.251366,0.0245902,0.275956,0,6220.47,6220.47
baseline,1,2010,male,13,382,13,169,2197,1,0.0592279,189.623,118.504,3.69839,4065.58,2769.69,19.6261,0,0.0628272,0,0,0.0366492,0,0.0489486,0,0,0.709424,0.274869,0.0157068,0.290576,0,4894.86,4894.86
baseline,1,2010,female,13,363,13,169,2197,0,0.0836281,153.076,104.876,3.41291,3311.85,2290.44,19.4624,0,0.077135,0,0,0.0633609,0,0.0622047,0,0,0.787879,0.209366,0.00275482,0.212121,0,6220.47,6220.47
baseline,1,2010,male,14,383,14,196,2744,1,0.0564352,195.512,122.131,3.83226,4186.46,2782.48,19.6933,0,0.073107,0,0,0.0417755,0,0.0489486,0,0,0.796345,0.177546,0.0261097,0.203655,0,4894.86,4894.86
