Age,Carb,Fat,Protein,Sodium,PAL,Energy,weight,height,BMI,BMR,PA
0,214.7590778,40.29966843,35.06571419,2.16743602,1.6,1361.996184,3.5,51,13.45636294,637.9555,1020.7288
1,217.4265911,40.69866688,35.4767076,2.193334874,1.6,1377.901197,9,73,16.88872209,752.64,1204.224
2,222.6120896,41.47757974,36.27621028,2.243603159,1.6,1408.851417,11,86,14.87290427,807.078,1291.3248
3,230.0358901,42.60034761,37.42210906,2.315390141,1.6,1453.235125,14,94,15.84427343,855.273,1368.4368
4,239.321918,44.0176447,38.85764354,2.404886568,1.6,1508.877048,15,101,14.70444074,881.876,1411.0016
5,250.0376393,45.6713603,40.51731588,2.50775404,1.6,1573.262063,16,107,13.97501965,905.381,1448.6096
6,261.73151,47.49900219,42.33246897,2.619527869,1.6,1643.746936,19,112,15.14668367,944.282,1510.8512
7,273.9615753,49.43741832,44.23560878,2.735924451,1.6,1717.725501,21,119,14.8294612,980.132,1568.2112
8,286.3128144,51.42562018,46.16312245,2.853025619,1.6,1792.734329,24,125,15.36,1022.131,1635.4096
9,298.4049405,53.40685148,48.05663161,2.96735558,1.6,1866.507952,27,131,15.73334887,1064.13,1702.608
10,309.8952212,55.33024107,49.86362212,3.075895631,1.6,1937.007543,31,137,16.51659652,1115.376,1784.6016
11,320.4816732,57.15236711,51.5380915,3.176090421,1.6,2002.450363,35,143,17.11575138,1166.622,1866.5952
12,329.9106535,58.83887678,53.04175669,3.265886718,1.6,2061.359532,40,148,18.26150475,1224.017,1958.4272
13,337.9900111,60.36604953,54.34595851,3.34381822,1.6,2112.638324,44,152,19.04432133,1269.067,2030.5072
14,344.6055892,61.72197166,55.43393345,3.409118646,1.6,2155.655836,46,155,19.14672216,1292.525,2068.04
15,349.7361407,62.90688934,56.3027586,3.461820555,1.6,2190.317601,48,156,19.72386588,1309.787,2095.6592
16,353.4605631,63.9323673,56.96413727,3.502788255,1.6,2217.090107,50,157,20.28479857,1327.049,2123.2784
17,355.9523604,64.81909429,57.44334978,3.533642969,1.6,2236.954689,51,157.5,20.55933485,1333.515,2133.624
