Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
0,1,42.446128069423,14.5440501267254,11.2113091454449,0.410092733200588,1712.83488473508,5.81348527973494,2.46825277138578,5.38865613232591,18.7426078943055,12.4061363539246,2.93527559888096,17.3030406967506,28.68058362878,5.17327444074663,9.21017488625135,3.13028131352375,159.279760381234,1.78985554585236,14.9970982161198,0.175287325485765,1.32751455886021,0,62,6.15,1.2,287.9385,345.5262,0.201727675609224,621.3036415
1,1,69.1388528404812,23.6920861899039,18.2672009941999,0.668406198773822,1714.34936751711,9.4710517177419,4.02078160033659,8.77677145486934,30.5249981856548,20.2256631556776,4.78083661806653,28.1742723557726,46.7336980882139,8.4291437444584,15.0148286549345,5.10200125910415,259.325404886876,2.91521264859027,24.4171593911342,0.285614920883939,2.16244190661058,0,80,10.2,1.29101237,435.978,562.85299104786,0.328318720625212,621.3880701
2,1,88.3624093078187,30.2843608286007,23.3603647679109,0.855320708497688,1717.34320545472,12.1087667162388,5.13965566426123,11.215605003907,39.0017512137554,25.8938326545483,6.10936073930478,35.9833302896641,59.7709396188663,10.7794998547048,19.2216349297261,6.52896904778902,331.127567349807,3.72524316892853,31.1782932096762,0.365273781436103,2.76397520920883,0,90.5,12.65,1.380482797,521.1585,719.450343760324,0.418932186341767,621.5588388
3,1,106.603364248729,36.5452779177539,28.2081144041392,1.03379305034586,1721.7472912232,14.6164106232864,6.20248649369878,13.5283536230389,47.0340263497218,31.3171987030105,7.36936805916828,43.3696857307693,72.1874002011347,13.0170264258119,23.2461296781244,7.89252580614943,398.947927875054,4.49337949668529,37.5650315334336,0.441122654710102,3.33510407038136,0,99,14.9,1.466869338,591.841,868.153415871258,0.504228129352528,621.8197569
4,1,123.858353804012,42.4756832511472,32.8129955770511,1.20401494453586,1727.46079184218,16.9948347627307,7.20960240214162,15.7144913503537,54.6176574193475,36.5015773767373,8.56078359693626,50.3304688971823,83.9910075434585,15.1433576896341,27.0932235746704,9.1956156496381,462.713873749369,5.2194700330279,43.5706894791787,0.513210544779791,3.87587376826957,0,105.5,17.3,1.548630049,651.522,1008.96654678458,0.584074933306363,622.1765011
5,1,141.477338158309,48.540971516044,37.5360266461449,1.37930486413158,1734.35442676296,19.4306998616697,8.24027037467945,17.9453602517384,62.3452696268967,41.8489668597163,9.77728777493204,57.415584229823,96.1070027144478,17.3258288677779,31.0623874542963,10.5422748734524,527.418613196032,5.96047163942376,49.6656168821685,0.58719465067251,4.42873116218167,0,112.1,19.5,1.624222987,709.83,1152.92220286221,0.664755822149947,622.6365646
6,1,158.982844965701,54.5804836841587,42.2544818955662,1.55521444993001,1742.27465074753,21.8601789732186,9.26759254522221,20.1605948329953,70.0033879579821,47.2211106273446,10.9864915981506,64.434929452136,108.222277480731,19.5088535259904,35.0526136782391,11.9018070662319,591.23129837064,6.69641287154081,55.6776302615456,0.661168529206797,4.97901198151106,0,118.2,21.8,1.692106208,766.012,1296.1736606025,0.743954840900867,623.2091783
7,1,177.18178318086,60.8748674373209,47.1867220640722,1.73980176672492,1751.04858959759,24.3960720847683,10.3396841588606,22.4629222514918,77.944397278735,52.8573793939166,12.2450516748501,71.722772543226,120.896802162739,21.7946660441533,39.243755967053,13.3401388181983,657.115926418612,7.46153605645904,61.8861122493408,0.738563635016129,5.55234426100894,0,124.2,24.5,1.750737771,825.565,1445.34782791562,0.825418458689241,623.9051974
8,1,195.328902987358,67.1723365251325,52.1386391969515,1.92590262562962,1760.48954987885,26.9378558337383,11.4143252115705,24.7584340512146,85.8374042084973,58.5331887553746,13.502657084976,78.9877016614968,133.633709835379,24.0954388091106,43.4717758645119,14.8075962079174,722.277298970507,8.22482238016354,68.028131838532,0.81635849694723,6.12583051249207,0,130.1,27.4,1.79857573,886.491,1594.42119746343,0.905669220003694,624.7369457
9,1,212.881108497947,73.2900527011306,56.9684485389077,2.10819013728979,1770.40290373273,29.4123144636156,12.460983900606,26.9791009060773,93.441927860227,64.078023176807,14.7232131586332,86.0244367312031,146.069047089808,26.3476942129147,47.6130183781763,16.2687962912251,784.712268629114,8.96389985155476,73.9153304989634,0.892347334492113,6.682932911175,0,135.8,30.5,1.834078143,948.165,1739.0087024576,0.982267199625042,625.7180117
