Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
0,0,67.6264571604076,22.9857237827379,19.1625143284321,0.662131809904771,9.136970430468,3.87710378250302,8.50306201100718,29.5729475196799,17.3830872967953,4.649847913058,27.6868998615809,43.9393677742949,8.38987070069558,15.9531691662977,4.91770377052504,253.1230142598,2.95932959155552,22.1648426777307,0.282918607878845,2.21785284115876,0,63.4,6.05,554.0274,5,1.2,461.6895,554.0274,1
1,0,97.8399603517531,33.2564150973812,27.7305163396382,0.958216125301538,13.2211396436045,5.61032473507111,12.299483652263,42.7775609365587,25.1610449828107,6.72774761235302,40.0450379002503,63.564631899024,12.1405194817111,23.0923924082552,7.12123263292891,366.101377474373,4.28142001355276,32.0459543962491,0.409407820759985,3.20908143945736,0,81.7,10.9,801.589642641996,5,1.29372953124616,619.596,801.589642641996,1.00268760044229
2,0,118.804367715705,40.3857009767408,33.688711704585,1.16417102783753,16.0590073738787,6.81502528174498,14.9289941817143,51.9249710064031,30.5802922336622,8.17049948685539,48.5985193432946,77.1719406323246,14.7475948683075,28.0687510438353,8.66283480028017,444.282826530089,5.19868496644509,38.8606584000389,0.497348456274649,3.89757881892882,0,91.9,13.3,973.443626471827,5,1.38587821001624,702.402,973.443626471827,1.00499332611375
3,0,137.875648665247,46.8747414716482,39.1247596873872,1.3521465967554,18.6454705068721,7.91354651892474,17.3155447168612,60.2280741162686,35.5364309565621,9.48414756384106,56.3555649158976,89.5395536670337,17.1251907577073,32.6226360603968,10.0810045448456,515.148251669094,6.03298854417049,45.0094712761707,0.577557302741046,4.52480827330149,0,99.6,15.35,1129.87430665538,5,1.47486518383417,766.0865,1129.87430665538,1.00696714052936
4,0,157.170012351157,53.4440643938694,44.6420202181799,1.54300710151143,21.2676566178582,9.02798793158811,19.7243261636211,68.6078445549977,40.5781614638167,10.8145162503896,64.1803982625976,102.042261080948,19.5378172560298,37.2585740088427,11.5340028902592,586.560263111067,6.87689509239927,51.174226236198,0.658935504844739,5.16045407228841,0,106.5,17.55,1288.24470982217,5,1.55910960022386,826.2695,1288.24470982217,1.00865236299108
5,0,177.47386435744,60.3626094334239,50.4674688964835,1.74461381659494,24.0332120525038,10.2043984578858,22.2534609783785,77.4031354525338,45.9120777898063,12.2160572318885,72.3946153946433,115.192276760533,22.0855679462516,42.1674236931591,13.0842930543489,661.398305169454,7.76477022385988,57.5996352342531,0.744826062060301,5.8306623395414,0,112.9,20.3,1455.02881791651,5,1.63703060670923,888.822,1455.02881791651,1.01008548894559
6,0,195.247241548969,66.4279900107829,55.5970790729169,1.92227156636384,26.4637555903363,11.2400714186232,24.459132955202,85.0666468634368,50.6233373572832,13.4454011833955,79.5586219014469,126.696065713975,24.3302701614283,46.5101773624492,14.4751297144815,726.431483138767,8.54170194456087,63.1287470942452,0.82040522569474,6.41945019381339,0,119,21.9,1601.22919258459,5,1.70704735081421,938.011,1601.22919258459,1.01129650057989
7,0,213.207661805969,72.5661747866406,60.8051115387463,2.10275643566168,28.9280076130679,12.2920164311096,26.6828010677211,92.7814298265438,55.41315839706,14.6898422798772,86.7892539350418,138.324123273516,26.6123682938747,50.932094914991,15.9103877574527,791.767960812136,9.32657232902387,68.6392914617693,0.897096415266534,7.01639424448954,0,125,23.8,1749.14666645863,5,1.76757898006272,989.572,1749.14666645863,1.01230934352689
8,0,232.599881064782,79.2032032584355,66.4492263038083,2.29845650124536,31.5960330736471,13.4330996466381,29.0809170412619,101.085557690322,60.6039539742552,16.0355062442176,94.6028622693024,150.892377466505,29.0904016980609,55.7312633557607,17.4882065363219,861.993394564529,10.1738256317346,74.5243663700797,0.980171910593442,7.6628812436249,0,130.6,26.9,1909.02525880028,5,1.81704464197868,1050.621,1909.02525880028,1.0131423605261
9,0,249.603114637037,85.0404824307431,71.43956666987,2.47169405373299,33.9497684104633,14.4436828138699,31.1770103770693,108.316090174477,65.1968058127624,17.2192942418787,101.458301432234,161.932919669,31.2895245674619,59.9908438371977,18.925819509777,922.928255973627,10.916373155073,79.5557534943103,1.05355452067119,8.23343457221981,0,135.7,29.7,2049.53506710432,5,1.85386348408601,1105.548,2049.53506710432,1.01380857726633
10,0,266.284103823507,90.7836943833047,76.365933696919,2.64288563267053,36.2702309242785,15.4437389700348,33.2314549205467,115.371486667883,69.7232241589916,18.3838164067507,108.211951283576,172.799043075233,33.4702012132853,64.2009856825976,20.3806168886204,982.248352881882,11.6447030952286,84.3992873649863,1.12594964182283,8.79639498922623,0,140.7,33.1,2187.65339953145,5,1.87645465390863,1165.844,2187.65339953145,1.01431573274608
11,0,281.009468653695,95.8778610930324,80.7588611552271,2.79580353176691,38.3351231296862,16.3390645164857,35.0425300517322,121.544904119819,73.7479462884195,19.4164001405347,114.21627107774,182.444255731667,35.4288420961052,67.962265653718,21.7289690777572,1033.9518862696,12.2875250845058,88.5427027016935,1.19044467890471,9.29802878252171,0,145.7,36.5,2309.97406907298,5,1.88393990007094,1226.14,2309.97406907298,1.01467246935015
12,0,296.403159386354,101.219861583795,85.370549388483,2.95651025405442,40.502332329973,17.2825384422079,36.9397471132305,127.973242471508,77.9510894264773,20.4983612346856,120.554059067759,192.58619125337,37.4973800839054,71.9026549059727,23.1738471611844,1087.73008206232,12.9597706273848,92.8213858996973,1.25814202850813,9.82530551937249,0,151.6,40.5,2438.0735893535,5,1.87825137559926,1298.055,2438.0735893535,1.01490663602239
13,0,314.709496652878,107.57991489727,90.8499120390344,3.14753266135201,43.0800781940086,18.406443709887,39.2046236982993,135.622172030265,82.9181298983122,21.7853528084918,128.156407666038,204.701759355087,39.9637635718107,76.565132721753,24.8964558971816,1151.78894228782,13.7598049238081,97.933999265055,1.33861730376073,10.4531898978388,0,158.5,46,2590.45686884307,5,1.8620238346204,1391.205,2590.45686884307,1.01504613312561
14,0,332.880024100999,113.920458742617,96.3202656173083,3.33856699872916,45.6529951721819,19.5341685745373,41.4593639460983,143.173674352452,87.8410863622679,23.0668948550684,135.802306089465,216.830258887127,42.4456405645191,81.207241042184,26.662383990012,1214.92967724462,14.5546566927048,102.926050401726,1.41897024572981,11.0811099694825,0,165.5,52.2,2742.08528755678,5,1.83789203126114,1491.973,2742.08528755678,1.01511521350584
15,0,346.819296509263,118.840487296408,100.59285127872,3.48844011944669,47.6586896519224,20.4249893703924,43.1962094677369,148.870809749924,91.6299956408833,24.0589995289976,141.833893412193,226.31816800583,44.4200408692373,84.8222268007145,28.1395623985589,1262.26898206008,15.16563588931,106.546880778679,1.48171930135449,11.5726592980164,0,171.1,58.1,2859.21297681961,5,1.80849071964828,1580.994,2859.21297681961,1.01513673787361
16,0,367.915188851159,126.243756483677,106.968852168206,3.711683552259,50.6620399469274,21.7496268943901,45.8357132453694,157.604015480147,97.2856589809022,25.5516509672502,150.922514013131,240.614384506769,47.3460599313513,90.1899308959977,30.2499565660221,1335.28889283386,16.091157645303,112.305469372141,1.57552543329906,12.3079492594084,16.9515178545999,176.2776202,77.36989444,3154.39059741275,5,1.75152417424312,1800.9403717056,3154.39059741275,0.998376985897532
17,0,366.890650026155,126.081668888259,106.92946975115,3.71270665412881,50.6293509045672,21.7754866672212,45.7316683572154,156.840363766403,97.0596438918214,25.5109363771863,151.057157600267,240.574304828336,47.4514765616268,90.1261015408126,30.5753371813899,1327.83676643398,16.0511117711606,111.288375253453,1.57495305640957,12.3069671260105,16.8184912947425,176.2931612,77.48436386,3147.74493816674,5,1.75141220239309,1797.2610524614,3147.74493816674,0.998275032998344
18,0,366.041799015509,125.99357941568,106.940444163833,3.71575473704473,50.6240679294022,21.8150408929556,45.6611436177408,156.152017762809,96.8419709578413,25.4834279023593,151.353451874145,240.750561695251,47.5907037091168,90.0839192789456,30.9205255581382,1321.07740162757,16.0207174937896,110.350560718985,1.5752664096009,12.3135541455647,16.7327376690054,176.3236679,77.70843357,3143.00035114152,5,1.75119934219258,1794.7701757393,3143.00035114152,0.998077920284025
19,0,365.354433186601,125.973766698805,106.996604525835,3.72066561846705,50.6437550168141,21.866758761848,45.6222567267051,155.534410674733,96.6289602548111,25.4680104929386,151.801198068161,241.135624764362,47.7605599758372,90.0608784039576,31.2796448426255,1314.9738517848,15.9995866941938,109.492282561988,1.57641400486811,12.3270731212393,16.6930531507101,176.3679629,78.03276622,3140.01942319396,5,1.75090722838154,1793.3671026628,3140.01942319396,0.997798906176506
20,0,364.808199514601,126.014143647055,107.091030801591,3.72721125130027,50.6850464394921,21.9286569869472,45.6121650639755,154.980241280132,96.4159564883459,25.4631291246358,152.385882948783,241.716294593793,47.9569749123305,90.0537310287318,31.645831421444,1309.46517396229,15.9870226592158,108.711158627975,1.57831781889785,12.3466512344508,16.6978426033421,176.4242269,78.44430363,3138.60911231167,5,1.75056700691891,1792.9100113887,3138.60911231167,0.99745707407303
21,0,364.378378612679,126.104882877934,107.215551879345,3.73511398506708,50.7438897540251,21.998416543325,45.6273037426236,154.480256365,96.1977476642685,25.4669106763377,153.089522254512,242.47472269439,48.1752468525785,90.0588961835568,32.0114605549599,1304.4732746434,15.9820854622988,108.002674351245,1.58087985096827,12.371238118154,16.7451268383191,176.4899715,78.9272624,3138.53555573773,5,1.75021783513046,1793.225673251,3138.53555573773,0.997076411777812
22,0,364.03789615742,126.235132998563,107.361321363406,3.74406574707362,50.8158279685687,22.0735184860844,45.6636537744381,154.024128394019,95.9690465646437,25.4773026839251,153.891644523076,243.38963839791,48.4103368626697,90.0729192157054,32.368438730268,1299.91051164498,15.9836685559978,107.360752352762,1.58398977669002,12.3996729826085,16.8325391741632,176.5620555,79.46425376,3139.54084128951,5,1.74990499128796,1794.1207419374,3139.54084128951,0.99668465337283
23,0,363.759322851891,126.393743685431,107.519402013418,3.75374778015641,50.8962878723938,22.1513843736353,45.7170113852552,153.601327040367,95.7249673049649,25.4922128181095,154.7703324109,244.437655229974,48.6571683581489,90.0929152291428,32.7085433666858,1295.68720475456,15.9905771129591,106.778320533764,1.58753272566196,12.43075325139,16.9573118708507,176.6367653,80.03739994,3141.35977572607,5,1.74967768111937,1795.3934085256,3141.35977572607,0.996311940128479
