Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
0,0,67.6264571604076,22.9857237827379,19.1625143284321,0.662131809904771,1874.73331916988,9.136970430468,3.87710378250302,8.50306201100718,29.5729475196799,17.3830872967953,4.649847913058,27.6868998615809,43.9393677742949,8.38987070069558,15.9531691662977,4.91770377052504,253.1230142598,2.95932959155552,22.1648426777307,0.282918607878845,2.21785284115876,0,63.4,6.05,1.2,461.6895,554.0274,0.295523312214518,621.3036415
1,0,97.5777104539797,33.1672747151872,27.6561875577261,0.955647726050335,1876.70480903928,13.1857017457607,5.59528683968605,12.2665161580114,42.6629001073609,25.0936034032057,6.70971458047891,39.9377013165281,63.3942534753452,12.1079780744829,23.0304956379925,7.10214490514067,365.120080584307,4.26994410987452,31.9600585288116,0.408310445426267,3.20047982845488,0,81.7,10.9,1.290261823,619.596,799.441064483508,0.425981252156943,621.3880701
2,0,118.21408623191,40.1850439474161,33.5213287782291,1.15838682465615,1880.62003769105,15.9792179277229,6.78116471489248,14.8548192249633,51.66698092135,30.4283535413259,8.12990422379246,48.3570567888469,76.7885105573229,14.6743211970726,27.9292909858174,8.6197933609956,442.075399891565,5.17285521342526,38.6675785702089,0.494877372169094,3.87821363351788,0,91.9,13.3,1.378992451,702.402,968.607055567302,0.515046652781876,621.5588388
3,0,136.92169596792,46.550418166581,38.8540580051294,1.34279118188958,1886.42401324066,18.5164637021523,7.85879320229315,17.1957395826823,59.8113599661322,35.2905566887521,9.41852736014328,55.9656444065011,88.9200352853248,17.0067026702625,32.3969221510515,10.0112547262923,511.583974228076,5.99124668655914,44.6980536549675,0.573561221111369,4.49350141745717,0,99.6,15.35,1.464660687,766.0865,1122.05677939143,0.59480624266644,621.8197569
4,0,155.821785699368,52.9856136314252,44.2590746387561,1.52977096780477,1894.03552584734,21.0852196437538,8.95054457099205,19.5551280969889,68.019316736191,40.2300762410206,10.721747796555,63.6298497058746,101.166928096366,19.3702190892529,36.9389646779346,11.4350625780086,581.52866600309,6.81790411119088,50.7352464673209,0.653283062650761,5.1161869655324,0,106.5,17.55,1.545735337,826.2695,1277.19396403532,0.674324185901392,622.1765011
5,0,175.701825538254,59.759901606383,49.9635619448067,1.72719421839839,1903.3486858848,23.793245537654,10.102509707904,22.0312648997744,76.6302815946137,45.4536554502263,12.0940824965623,71.6717705450996,114.042106357532,21.865048243893,41.746390928927,12.9536491688514,654.794383651501,7.68724064332947,57.0245151174087,0.737389132119708,5.77244441520283,0,112.9,20.3,1.620685204,888.822,1440.50066438969,0.756824367007694,622.6365646
6,0,193.066268336746,65.6859684303191,54.9760421805443,1.90079918724289,1914.23497746598,26.1681471014303,11.1145162790319,24.1859167328047,84.1164256127243,50.0578587271439,13.2952118154129,78.6699270251869,125.280830736906,24.0584933770432,45.9906440255451,14.3134379543302,718.317014567164,8.44628844227479,62.4235790967796,0.811241040806834,6.34774291232333,0,119,21.9,1.687979094,938.011,1583.34295794203,0.82714137845189,623.2091783
7,0,210.61512784536,71.6837943368375,60.0657416900855,2.07718761968122,1926.5458202313,28.5762527018496,12.1425496165867,26.3583471182416,91.6532386269328,54.7393528978013,14.5112187038576,85.7339255930085,136.642148131908,26.2887707834021,50.3127776510916,15.7169227560627,782.140326842793,9.21316432438531,67.8046606016987,0.886188022468552,6.93107723380719,0,125,23.8,1.74608581,989.572,1727.87762717332,0.896878552811097,623.9051974
8,0,229.582623456785,78.1757888568663,65.5872549532949,2.26864120068164,1940.11562032058,31.1861731427754,13.2588470979169,28.7036828922649,99.774288025851,59.8178067915205,15.8274955909363,93.3756853480863,148.935019742093,28.7130445152397,55.0083241281323,17.2613516300322,850.811720197858,10.0418519924994,73.5576452764063,0.967457238767969,7.563479272198,0,130.6,26.9,1.793474158,1050.621,1884.26161335212,0.971210990528887,624.7369457
9,0,246.203396019864,83.8821887461728,70.4665242254137,2.43802835087247,1954.76527474823,33.4873556722184,14.2469526671557,30.7523639828893,106.840771131119,64.3087928774103,16.9847588864452,100.076388883797,159.72731272963,30.8633456740247,59.1737386942999,18.6680404310736,910.357513902915,10.7676867210064,78.4721645469082,1.03920458387917,8.12129109660992,0,135.7,29.7,1.828612941,1105.548,2021.61937969667,1.03420057938007,625.7180117
