FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
0.49,0.18,0.14,-0.08,0.16,0.24,0.17,0.19,0.22,0.55,0.64,0.01,0.06,0.21,0.09,0,0.14,0.23,0.11,0.25,0.17
0.18,1.32,0.23,0.06,0.36,0.16,0.91,1.38,1.8,0.15,0.17,-0.04,0.06,0.17,0.08,0.05,0.2,0.18,0.04,0.21,0.23
0.14,0.23,0.27,0.03,0.18,0.19,0.22,0.23,0.26,0.09,0.03,0.04,0.07,0.37,0.38,0,0.23,0.21,0.09,0.17,0.26
-0.08,0.06,0.03,5.11,0.01,-0.08,0.04,0.06,0.1,0,0.02,-0.16,-0.06,-0.57,-0.27,0.07,0.06,-0.01,-0.13,-0.02,0
0.16,0.36,0.18,0.01,0.7,0.21,0.28,0.36,0.53,0.13,0.15,-0.04,0.07,0.26,0.06,0,0.15,0.22,0,0.14,0.14
0.24,0.16,0.19,-0.08,0.21,0.48,0.12,0.18,0.24,0.14,0.08,0.09,0.14,0.96,0.23,-0.02,0.13,0.31,0.17,0.26,0.21
0.17,0.91,0.22,0.04,0.28,0.12,0.91,0.86,0.9,0.17,0.16,-0.01,0.05,0.14,0.19,0.05,0.22,0.15,0.07,0.16,0.22
0.19,1.38,0.23,0.06,0.36,0.18,0.86,1.52,1.93,0.13,0.16,-0.04,0.06,0.15,0.07,0.04,0.18,0.19,0.04,0.22,0.23
0.22,1.8,0.26,0.1,0.53,0.24,0.9,1.93,3.1,0.16,0.2,-0.09,0.1,0.32,-0.02,0.07,0.19,0.23,0,0.29,0.25
0.55,0.15,0.09,0,0.13,0.14,0.17,0.13,0.16,0.9,1.04,0.03,0.02,0.13,0.12,0.01,0.15,0.15,0.15,0.21,0.12
0.64,0.17,0.03,0.02,0.15,0.08,0.16,0.16,0.2,1.04,1.48,-0.06,0.03,-0.1,-0.02,0.01,0.07,0.14,0.05,0.22,0.06
0.01,-0.04,0.04,-0.16,-0.04,0.09,-0.01,-0.04,-0.09,0.03,-0.06,0.39,0.04,0.38,0.35,-0.09,0.04,0.06,0.16,0.03,0.07
0.06,0.06,0.07,-0.06,0.07,0.14,0.05,0.06,0.1,0.02,0.03,0.04,0.68,0.73,0.48,-0.02,0.03,0.11,0.12,0.08,0.08
0.21,0.17,0.37,-0.57,0.26,0.96,0.14,0.15,0.32,0.13,-0.1,0.38,0.73,19.67,2.37,-0.25,0.16,0.53,0.48,0.29,0.42
0.09,0.08,0.38,-0.27,0.06,0.23,0.19,0.07,-0.02,0.12,-0.02,0.35,0.48,2.37,6.58,-0.05,0.17,0.29,0.26,0.15,0.48
0,0.05,0,0.07,0,-0.02,0.05,0.04,0.07,0.01,0.01,-0.09,-0.02,-0.25,-0.05,0.21,0.03,-0.03,-0.02,-0.01,-0.01
0.14,0.2,0.23,0.06,0.15,0.13,0.22,0.18,0.19,0.15,0.07,0.04,0.03,0.16,0.17,0.03,0.33,0.16,0.1,0.11,0.23
0.23,0.18,0.21,-0.01,0.22,0.31,0.15,0.19,0.23,0.15,0.14,0.06,0.11,0.53,0.29,-0.03,0.16,0.39,0.12,0.26,0.23
0.11,0.04,0.09,-0.13,0,0.17,0.07,0.04,0,0.15,0.05,0.16,0.12,0.48,0.26,-0.02,0.1,0.12,0.72,0.07,0.11
0.25,0.21,0.17,-0.02,0.14,0.26,0.16,0.22,0.29,0.21,0.22,0.03,0.08,0.29,0.15,-0.01,0.11,0.26,0.07,0.45,0.23
0.17,0.23,0.26,0,0.14,0.21,0.22,0.23,0.25,0.12,0.06,0.07,0.08,0.42,0.48,-0.01,0.23,0.23,0.11,0.23,0.3
