,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodAlcohol,FoodFibre,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
Intercept,-3.22114964812619,-2.33942587133154,-2.86887017597584,-3.031749308407,0.301962535978404,-2.80857043065052,-2.38952067499049,-1.83244475701486,-2.83991046014315,-3.2492588055385,-3.38112547716645,-6.45436077111935,-2.87207805014131,4.2689486323127,-0.322843826024096,-6.13369524950646,-3.33561751053485,-2.35173684715325,-1.60353956235554,-2.89190526870501,-2.48634187381338
gender2,-0.0073095985305324,-0.0118399737017074,-0.00486653381166707,-0.0119784113945596,-0.0456356126329274,0.00319394255303622,-0.0139262723129381,-0.0200154166854687,-0.0130961678352831,-0.00851296741306665,-0.0202211851377886,0.00586427667152486,0.000863362141248833,0.00487170426249282,-0.0261954270285488,-0.0216379177499906,-0.00750876192500952,-0.00345554201303521,0.0145439032934002,-0.00217741961271567,-0.00327592618714976
age1,-0.000294006161588629,0.000105186679695807,-0.000398397914342554,0.000359436148664898,0.00466605336912918,-0.00120610769104333,0.00042002744948612,0.00124334398839017,-0.000346794650315462,-0.00101724040317607,0.00106200718891484,-0.00426882526821996,-0.00214180251588035,-0.00110082063834216,-0.000764287752198488,0.0009471308263157,-0.000545661377166807,-0.0012677443080233,-0.00202318086073809,-0.000569597157072531,-0.00037871272360789
age2,1.97189305717939e-06,-3.24921955434558e-06,4.82074752141185e-06,-6.52276127832324e-06,-3.15714757671534e-05,1.69268016338633e-05,-5.59795357054017e-06,-1.15334406808611e-05,-1.03221552001666e-06,9.97217593452468e-06,-9.73597006958695e-07,6.44799578241019e-05,3.00595724786878e-05,2.50552682326833e-05,1.7443764506272e-05,-1.54342765776637e-05,3.67669955490943e-06,1.50289475342046e-05,2.79049404119692e-05,6.87403217654952e-06,5.04176437936078e-06
ethnicity2,0.0330433698275631,-0.113813917244464,-0.0691930171185749,-0.328074145286928,-0.516002646639209,0.0311763832704381,-0.125630687964209,-0.0567619048199049,-0.165605923025098,-0.0775338070593339,-0.138839905344445,0.376822690397891,0.0193650834846715,0.231013650369888,0.079254728945281,-0.626376694487634,-0.114301829917764,-0.0646930709199352,0.0112106510852322,-0.0485692714078435,-0.0355426811137388
ethnicity3,-0.179966481820174,-0.135684302887705,-0.157459069991305,-0.335347499887765,-0.704535262610499,-0.108688782054055,-0.100845214613727,-0.00314980790934158,-0.269345205919414,-0.254342207023275,-0.223484095363158,0.0916430895106862,-0.113536480863255,-0.332049430255652,0.409335755130594,-0.41954453212182,-0.323777834487594,-0.180292689629192,-0.0831040246077736,-0.209808754275009,-0.150216040618117
ethnicity4,-0.0618391731468265,-0.0288601631258772,-0.0420905085054054,-0.172320613292616,-0.331557664801021,-0.00988773532926932,-0.0273894763789271,0.0285651970606171,-0.104514201794342,-0.116919163743327,-0.213296006489648,0.295866388994886,0.0727674937488202,0.0644060356014985,0.142797928260117,-0.176331776696094,-0.164190479942392,-0.0617897932558857,-0.0361766280390063,-0.0260517156010588,-0.0704418031268658
log_income,1.03674911025988,0.734265240745388,0.886948161044693,0.94769668326425,-0.549684399642546,0.817188466738007,0.741390202053872,0.53207510961476,0.904765727225739,1.03122667837896,1.01374078000892,1.82987194346785,0.797218502697095,-1.49070528545984,8.08728225711151e-05,2.0039191049983,1.07205159480878,0.675456693472021,0.354275758198142,0.860393753059976,0.767318419841426
log_income2,-0.0843049936116092,-0.0589665043099858,-0.0692642089116037,-0.0752013306332169,0.0635550133977107,-0.059997462945446,-0.0591568169907511,-0.042227854182959,-0.0731897975180482,-0.0831594472378205,-0.0838425424130437,-0.132215102055001,-0.0571484412817324,0.120396951015674,-6.40545517702602e-08,-0.168522007897402,-0.0871374916404589,-0.0483606054470021,-0.0188974149815226,-0.0648537993585575,-0.0600077575355737
region2,0.0769671879130132,0.0266598395603356,0.10161838725548,0.0914929258858571,-0.0721887992165303,0.0467230776197671,0.0110156341514523,0.00120573067184985,0.0485793500868866,0.082186754408749,0.0519941687114628,0.03635147852369,0.126556937298044,0.0223237710491108,0.0260616686458284,0.256405588483865,0.0749514970324351,0.0614268230164999,0.0537876022367844,0.0551740062268968,0.0935544016920642
