"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
1.93,0.56,0.98,-0.04,0.83,2.17,0.45,0.49,1.05,1.25,1.6,-0.44,0.44,0.45,0.03,-0.38,1.06,2.1,1.43,0.78,1.27
0.56,0.95,0.57,0.1,0.45,0.48,0.67,0.77,0.78,0.3,0.29,-0.07,0.04,-0.08,0.15,0.17,0.52,0.64,0.15,0.45,0.71
0.98,0.57,1.35,0.04,0.93,1.42,0.52,0.52,0.75,0.65,0.63,-0.29,0.24,-0.02,0.3,0.13,1.01,1.4,0.51,0.6,1.25
-0.04,0.1,0.04,19.34,0.02,-0.46,0.12,0.09,0,-0.01,0.06,-0.23,-0.13,0.17,0.19,0.2,0.07,0.37,-0.31,-1.48,0.5
0.83,0.45,0.93,0.02,41.92,0.93,0.52,0.56,1.36,0.58,0.97,0.03,-0.27,0.5,0.11,0.35,0.77,1.96,0.74,-2.6,1.12
2.17,0.48,1.42,-0.46,0.93,8.47,0.29,0.32,1.15,1.07,1.25,-0.48,0.45,1.37,-0.28,-0.67,1.29,3.55,0.57,1.9,1.87
0.45,0.67,0.52,0.12,0.52,0.29,1.88,0.62,0.38,0.34,0.34,-0.08,0.04,-0.29,0.28,0.24,0.6,0.5,0.1,0.32,0.5
0.49,0.77,0.52,0.09,0.56,0.32,0.62,2.04,0.89,0.26,0.31,-0.01,-0.07,0.03,0.08,0.21,0.39,0.72,0.12,0.57,0.51
1.05,0.78,0.75,0,1.36,1.15,0.38,0.89,8.55,0.53,0.49,-0.16,0.22,-0.24,-0.01,-0.04,0.53,1.16,0.36,1.49,0.81
1.25,0.3,0.65,-0.01,0.58,1.07,0.34,0.26,0.53,1.84,2.53,-0.25,0.37,-0.59,0.21,-0.08,1,1.04,2.42,0.51,0.7
1.6,0.29,0.63,0.06,0.97,1.25,0.34,0.31,0.49,2.53,5.92,-0.22,0.26,-0.45,0.12,-0.13,0.89,1.21,4.34,0.86,0.47
-0.44,-0.07,-0.29,-0.23,0.03,-0.48,-0.08,-0.01,-0.16,-0.25,-0.22,1.75,-1.24,-3.17,-0.02,1.08,-0.71,-0.39,-0.39,0.23,-0.17
0.44,0.04,0.24,-0.13,-0.27,0.45,0.04,-0.07,0.22,0.37,0.26,-1.24,1.54,1.04,0.07,-1.14,0.71,0.25,0.47,0.01,0.2
0.45,-0.08,-0.02,0.17,0.5,1.37,-0.29,0.03,-0.24,-0.59,-0.45,-3.17,1.04,28.99,-1.99,-3.14,0.14,0.78,-0.44,-0.9,0.09
0.03,0.15,0.3,0.19,0.11,-0.28,0.28,0.08,-0.01,0.21,0.12,-0.02,0.07,-1.99,1.81,1.06,0.36,-0.11,0.27,-0.06,0.36
-0.38,0.17,0.13,0.2,0.35,-0.67,0.24,0.21,-0.04,-0.08,-0.13,1.08,-1.14,-3.14,1.06,2.92,-0.15,-0.34,-0.16,-0.26,0.23
1.06,0.52,1.01,0.07,0.77,1.29,0.6,0.39,0.53,1,0.89,-0.71,0.71,0.14,0.36,-0.15,1.81,1.1,0.69,0.08,1.11
2.1,0.64,1.4,0.37,1.96,3.55,0.5,0.72,1.16,1.04,1.21,-0.39,0.25,0.78,-0.11,-0.34,1.1,13.94,0.54,1.47,1.48
1.43,0.15,0.51,-0.31,0.74,0.57,0.1,0.12,0.36,2.42,4.34,-0.39,0.47,-0.44,0.27,-0.16,0.69,0.54,11.45,0.06,0.48
0.78,0.45,0.6,-1.48,-2.6,1.9,0.32,0.57,1.49,0.51,0.86,0.23,0.01,-0.9,-0.06,-0.26,0.08,1.47,0.06,92.46,1.72
1.27,0.71,1.25,0.5,1.12,1.87,0.5,0.51,0.81,0.7,0.47,-0.17,0.2,0.09,0.36,0.23,1.11,1.48,0.48,1.72,14.02
