"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-3.45392316296057,-1.83501509661744,-1.10364231778333,1.40390084209709,2.48122778711305,-0.630481183104107,-1.47844903121681,-1.99984632818445,-1.51005121502371,-3.45684096085283,-6.19099898246332,0.50275529455462,-1.81620851616617,3.26079208860205,-0.0860188106501129,3.55945484575099,-1.29957622336875,-3.1301626377021,-0.881241574252392,2.6322666855012,0.482300502225564
"gender2",0.023114363757382,0.00160308987017972,-0.0149655229483613,0.0669176550893404,-0.23674634698309,-0.103972536077049,-0.0239441122132238,0.0221987705232747,0.0308459860994332,0.0177047725978412,0.114180470443068,-0.0137258615145285,-0.0350699524438002,-0.0723383958391504,-0.00580706843521847,0.0329437117045977,-0.0370155343104678,-0.0315596442197208,0.106268076145929,-0.0992041342402308,-0.0351037061054689
"age1",0.00185145904335989,0.00672746302343694,0.00394734376185081,0.00838625393769925,0.0236440997313407,0.00488005126078914,0.00912581719485412,0.000139074802160543,0.00397988130472893,-0.00169302052396221,-0.0102031922656777,0.00490145512154058,0.0037184205794978,-0.01408083724884,-0.0040974529569557,-0.00746005363636061,0.000459422910073185,0.0280973140253195,-0.0170450488376583,0.0118590701440899,0.0135647019434748
"age2",-6.63177282620289e-05,-8.54782003827948e-05,-8.0450467800589e-05,-0.00013130074471511,-0.000363289951071189,-4.46832325141803e-05,-0.000137514664262467,-7.00299675033222e-06,-4.02806390039914e-05,-3.17153598925613e-05,-3.30694371842657e-05,-7.92202141455971e-05,-3.51797971044589e-05,0.000248439439133438,-4.08972762315028e-05,4.43093212533262e-05,4.80110799237678e-05,-0.000372175974879906,-0.000110179757305158,-0.000264119468811068,-0.000227181265088406
"ethnicity2",0.0703883299016391,-0.12249566308452,0.208441705839313,-0.370526239314599,-1.93958647732212,1.15809229433004,0.101089829748517,-0.196139025390479,0.075577709429365,-0.0138887040073485,-0.0479944361422028,-0.203471378340452,0.176097972000167,-0.645188954217096,0.140078199921873,-0.662781530584998,-0.0617250248747681,0.0315698438416441,-0.100478310424966,0.432032314468084,0.0913802636253027
"ethnicity3",0.155468321808362,0.0189822008854616,0.166804075125962,-0.0969650638912072,-0.477844627302992,0.761246828199565,0.15768566885715,0.785902708251964,-0.0728613771923286,0.317965477541381,0.447592125619643,-0.00994828808428246,-0.00601534690103819,0.101841037846734,-0.0958452107865586,-0.338068315150588,-0.119117746100608,-0.652488498605076,0.444136556685039,0.487763842410889,0.367309179202904
"ethnicity4",0.122575533494873,0.27411403004281,-0.0991072879980997,-0.148337264528849,0.34292284598528,0.997433852715034,0.120599181022437,0.18677722536455,0.126342056594818,-0.0169854295950157,-0.159033417152207,0.0168059253108599,-0.157784507378876,0.530360140534983,-0.370670074704969,-0.636103223221814,-0.0913924486401434,0.212280677886019,-0.407448660393903,0.822188188165687,-0.262949962030283
"income",0.0018604847852103,-0.000214679023960955,-0.000309315547168416,-0.00195923556948718,9.84692327588574e-05,0.00217370146615218,-0.000219989272098092,0.00132453802206972,-0.000807048439674363,0.00126951481068289,0.0016844407148943,-0.000280946489288139,0.00288391522536425,-0.00286957320439152,-0.00172823513399876,-0.00531737680890529,0.000125420026432044,0.00113045341575888,0.0014135191285391,-0.000237990884475647,-0.000563172472572331
"region2",-0.158337036735625,-0.143488329177027,-0.0788399406513443,0.400877587171008,-0.154332575331375,-0.31681772478441,-0.136106181221856,-0.287379242377446,0.0227706669919008,-0.148272960535555,-0.134483186919835,0.112208638214287,-0.0494862521143062,-0.827342515951847,0.0159815815743635,-0.00308010061603873,-0.0084177204776338,-0.304227519396129,-0.149151197760258,-0.95882794032932,0.288745662760712
"region3",-0.00270556094281811,-0.0768979119736904,0.0504997737553882,-0.00158833943913313,-0.136494038281131,0.255248367366008,-0.0103199369126602,-0.594474659633972,-0.036923180255683,-0.181300633797614,-0.49207992508825,0.162762259549844,-0.038267698774794,-0.587927571983855,-0.206368560112933,-0.260373536428034,0.0358159176552316,0.440537647936013,-0.803471123337142,-1.69736422133536,-0.2660848317117
"region4",-0.339800824058983,-0.127199492866718,-0.114996181837595,-0.181388514179105,-0.398070264675124,-0.416794951217775,-0.10402033659219,-0.44524212712797,-0.150228899735892,-0.302913281877693,-0.471917412180395,0.138404594244544,-0.176183961546472,0.00884451274944829,-0.0575037317598629,-0.121922231011684,-0.113450563746546,-0.412780384489622,-0.39557165148005,-0.846039089860321,-0.551177251322371
"EnergyIntake",-0.0340557982482322,-0.0173033400611122,-0.0574037840701713,-0.0487417902899378,-0.534463744650331,-0.520286380094767,-0.0371128708833591,-0.130693181900597,-0.0190681580463006,0.0684463407369954,0.346685806705895,-0.0539738930988482,-0.0126819060931562,-0.317763668678604,0.251423771230699,0.117190873360659,-0.0907192321043572,-0.154650670754179,0.406550113984353,-0.557325146718325,-0.273581931196794
"min",-11.9402985,-8.3333333,-9.0909091,-25,-50,-16.6666667,-12.5,-20,-9.0909091,-8.5714286,-50,-4.8381153,-9.3997292,-41.362154,-3.6426995,-10.152177,-10.2257636,-25,-25,-100,-25
"max",3.2467532,11.1111111,3.4482759,100,50,7.1428571,14.2857143,4.3478261,7.1428571,5.7142857,25,2.9670626,3.874274,16.925585,8.4567711,7.533104,4.3478261,25,20.8333333,12.5,12.5
