"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
1.42,0.63,0.72,-0.21,0.53,0.86,0.54,0.7,0.93,1.13,0.93,-0.01,0.14,0.66,-0.02,0.16,0.71,1.08,0.59,0.62,0.8
0.63,1.53,0.52,-0.17,1.16,0.75,0.98,1.48,1.77,0.06,0.18,0.42,0.01,1.54,0.3,0.19,0.03,0.85,-0.1,0.98,0.5
0.72,0.52,1.21,-0.32,0.7,0.47,0.51,0.48,0.65,0.63,0.45,-0.39,-0.01,-0.06,1.01,0.07,0.99,0.63,0.26,-0.12,0.99
-0.21,-0.17,-0.32,50.34,-1.82,0.06,-0.13,0.18,-0.64,-0.49,-0.44,0.27,-0.42,1.59,-0.19,-0.52,-0.52,-0.83,-0.89,-0.53,-0.66
0.53,1.16,0.7,-1.82,73.25,0.23,0.81,1.26,2,-0.12,0.36,0.64,-0.14,1.05,0.81,0.11,-0.24,2.49,1.45,-1.14,0.17
0.86,0.75,0.47,0.06,0.23,5.42,0.35,0.87,1.38,0.16,-0.07,0.63,0.29,2.89,-0.15,0.13,-0.03,1.43,-0.04,0.74,0.44
0.54,0.98,0.51,-0.13,0.81,0.35,1.97,1,0.93,0.3,0.34,0.12,-0.06,0.72,0.4,0.19,0.35,0.64,-0.13,0.55,0.57
0.7,1.48,0.48,0.18,1.26,0.87,1,2.8,2.02,0.05,0.13,0.55,0.08,1.78,0.42,0.1,-0.1,1.01,-0.03,1.69,0.22
0.93,1.77,0.65,-0.64,2,1.38,0.93,2.02,10.6,0.14,0.15,0.65,-0.02,2.14,0.16,0.44,-0.14,0.93,-0.32,1.59,0.47
1.13,0.06,0.63,-0.49,-0.12,0.16,0.3,0.05,0.14,2.36,2.07,-0.44,0.14,-0.92,0.2,0.14,1.36,0.64,1.48,-0.31,0.74
0.93,0.18,0.45,-0.44,0.36,-0.07,0.34,0.13,0.15,2.07,4.15,-0.52,-0.08,-1.29,0.16,0.35,0.97,0.35,2.05,-0.06,0.27
-0.01,0.42,-0.39,0.27,0.64,0.63,0.12,0.55,0.65,-0.44,-0.52,2.22,0.5,4.23,-0.16,-0.22,-1.25,0.42,0.06,0.93,-0.36
0.14,0.01,-0.01,-0.42,-0.14,0.29,-0.06,0.08,-0.02,0.14,-0.08,0.5,1,1.27,-0.69,-0.69,0.03,0.31,0.47,0.04,-0.17
0.66,1.54,-0.06,1.59,1.05,2.89,0.72,1.78,2.14,-0.92,-1.29,4.23,1.27,43.46,1.3,-0.53,-2.08,1.8,-1.29,2.5,0.52
-0.02,0.3,1.01,-0.19,0.81,-0.15,0.4,0.42,0.16,0.2,0.16,-0.16,-0.69,1.3,17.45,0.8,0.08,0.27,-0.44,-0.65,1.21
0.16,0.19,0.07,-0.52,0.11,0.13,0.19,0.1,0.44,0.14,0.35,-0.22,-0.69,-0.53,0.8,2.31,-0.23,0.29,-0.62,0.09,0.39
0.71,0.03,0.99,-0.52,-0.24,-0.03,0.35,-0.1,-0.14,1.36,0.97,-1.25,0.03,-2.08,0.08,-0.23,2.42,0.23,0.89,-1.22,0.98
1.08,0.85,0.63,-0.83,2.49,1.43,0.64,1.01,0.93,0.64,0.35,0.42,0.31,1.8,0.27,0.29,0.23,12.79,0.48,1.38,0.74
0.59,-0.1,0.26,-0.89,1.45,-0.04,-0.13,-0.03,-0.32,1.48,2.05,0.06,0.47,-1.29,-0.44,-0.62,0.89,0.48,10.85,-0.15,-0.31
0.62,0.98,-0.12,-0.53,-1.14,0.74,0.55,1.69,1.59,-0.31,-0.06,0.93,0.04,2.5,-0.65,0.09,-1.22,1.38,-0.15,100.65,0.02
0.8,0.5,0.99,-0.66,0.17,0.44,0.57,0.22,0.47,0.74,0.27,-0.36,-0.17,0.52,1.21,0.39,0.98,0.74,-0.31,0.02,18.79
