,min,max
Gender,0,1
Age,0,110
Age2,0,12100
Age3,0,1331000
Region,1,4
Ethnicity,1,4
Income,116.6697704,1552.56774
income_category,1,4
PhysicalActivity,1.111111111,2.498975841
EnergyIntake,381.1670103,5973.686722
Weight,1,210
Height,44,203.2
BMI,14.26126,45.84575
Carbohydrate,39.5778389,721.9542236
Fat,11.36280537,297.3447876
Protein,11.72619438,204.2547302
Sodium,0.319909155,7.891544819
Alcohol,0,289.6948547
Fibre,2.361522675,54.69842148
MonounsaturatedFat,2.750774622,139.0540924
PolyunsaturatedFattyAcid,0.341536641,133.6511536
SaturatedFat,2.401988745,164.5249939
TotalSugar,6.061544418,574.625
AddedSugar,0,555.852478
Fruit,0,1720.489525
Vegetable,0,1636.464182
Legume,0,433.6983613
RedMeat,0,357.1428571
ProcessedMeat,0,472.7857143
Calcium,64.96370703,3589.081754
Iron,1.272986366,39.73864486
VitaminC,0.869227329,493.1192256
Copper,0.069498084,17.2348732
Zinc,1.19361386,26.71040906
FoodCarbohydrate,39.5778389,721.9542236
FoodFat,11.36280537,297.3447876
FoodProtein,11.72619438,204.2547302
FoodSodium,0.319909155,7.891544819
FoodAlcohol,0,289.6948547
FoodFibre,2.361522675,54.69842148
FoodMonounsaturatedFat,2.750774622,139.0540924
FoodPolyunsaturatedFattyAcid,0.341536641,133.6511536
FoodSaturatedFat,2.401988745,164.5249939
FoodTotalSugar,6.061544418,574.625
FoodAddedSugar,0,555.852478
FoodFruit,0,1720.489525
FoodVegetable,0,1636.464182
FoodLegume,0,433.6983613
FoodRedMeat,0,357.1428571
FoodProcessedMeat,0,472.7857143
FoodCalcium,64.96370703,3589.081754
FoodIron,1.272986366,39.73864486
FoodVitaminC,0.869227329,493.1192256
FoodCopper,0.069498084,17.2348732
FoodZinc,1.19361386,26.71040906
