"Age","Sex","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","EnergyIntake","PhysicalActivity","Weight","Height","gender","RMR","steadystate","ratio","EnergyIntake_old"
0,"Male",91.8506916100431,18.254870983167,15.5618486895329,886.356321526288,593.944,1.6,3.5,53,1,371.215,593.944,0.390050385378336,1522.736606
1,"Male",136.709013107012,27.1669604325105,23.1613259531169,1319.14230132593,883.984,1.6,9,74,1,552.49,883.984,0.578734031156704,1527.444305
2,"Male",163.02338681575,32.3887033102027,27.6180306557007,1572.83778923923,1054.064,1.6,12,87,1,658.79,1054.064,0.685903030900196,1536.75367
3,"Male",180.687071947788,35.8865310384942,30.6082331233046,1742.91448404809,1168.16,1.6,14,96,1,730.1,1168.16,0.753429770125208,1550.456388
4,"Male",195.263846942975,38.7668254296744,33.0747957959895,1883.07469150615,1262.256,1.6,16,103,1,788.91,1262.256,0.80488227759132,1568.249215
5,"Male",202.844520902502,40.2553485142936,34.3560419898212,1955.66731243564,1311.100388,1.6,17,107.0732388,1,819.4377425,1311.100388,0.824723927521154,1589.744573
6,"Male",215.985631507174,42.8460672617344,36.5792218477246,2081.80527757553,1395.874019,1.6,19,113.1410019,1,872.421261875,1395.874019,0.864594555862948,1614.483933
7,"Male",230.62071270763,45.7330615808061,39.0559935785899,2222.30222258336,1490.304379,1.6,22,118.5760379,1,931.440236875,1490.304379,0.907641108149787,1641.953373
8,"Male",244.504365135386,48.4730056657548,41.4066529091967,2355.56545250383,1579.901123,1.6,25,123.5277123,1,987.438201875,1579.901123,0.945142687941815,1671.600641
9,"Male",257.865527085648,51.1137118057306,43.6705733490117,2483.86087394901,1666.167808,1.6,28,128.1463808,1,1041.35488,1666.167808,0.978456660591492,1702.852947
10,"Male",270.91230333145,53.6988472303755,45.8835632006474,2609.25385026618,1750.473091,1.6,31,132.5689091,1,1094.045681875,1750.473091,1.00883986162366,1735.13474
11,"Male",286.477778852442,56.7923768849765,48.5260124940614,2759.08939727599,1851.146558,1.6,35,137.0298558,1,1156.96659875,1851.146558,1.0470968759908,1767.884711
12,"Male",303.097175327384,60.1065145089968,51.3504213696355,2919.32011265104,1958.749018,1.6,39,142.1837018,1,1224.21813625,1958.749018,1.08784861452992,1800.571322
13,"Male",321.337934963099,63.7564645671799,54.4534687494131,3095.47651889385,2076.973796,1.6,43,148.3997796,1,1298.1086225,2076.973796,1.13328241089831,1832.706284
14,"Male",341.747454826049,67.8537684033452,57.9284769442323,3292.9024090597,2209.387642,1.6,48,154.4363642,1,1380.86727625,2209.387642,1.18538569854469,1863.85549
15,"Male",359.860793248181,71.5143341067937,61.0189226927998,3468.63849936506,2327.14787,1.6,53,159.007587,1,1454.46741875,2327.14787,1.22892374636956,1893.647085
16,"Male",373.418232988473,74.2890550003794,63.3411596758269,3600.91822945695,2415.639066,1.6,57,162.2503066,1,1509.77441625,2415.639066,1.25698230893606,1921.776503
17,"Male",381.806456050693,76.0535977851774,64.7900634199735,3683.79073471833,2470.868458,1.6,59.5,164.5644458,1,1544.29278625,2470.868458,1.26840745036986,1948.008471
18,"Male",387.555862492215,77.3087012876261,65.7937597524814,3741.60698111868,2509.176801,1.6,61.5,165.9856801,1,1568.235500625,2509.176801,1.27228838877676,1972.176138
19,"Male",376.538565222094,75.2287947534174,63.951674227239,3637.81371731154,2439.02011079824,1.6,57.28449761,166.4952701,1,1524.3875692489,2439.02011079824,1.22307064643431,1994.17762
20,"Male",379.745497647905,75.9980423019803,64.5253012470643,3671.65444598121,2461.06557572336,1.6,59.41043229,166.0889226,1,1538.1659848271,2461.06557572336,1.2219969054646,2013.970383
21,"Male",377.357726973209,75.6560206351872,64.1482213374834,3651.63344337949,2446.92797828496,1.6,59.22598469,165.7571839,1,1529.3299864281,2446.92797828496,1.20445529732037,2031.563964
22,"Male",375.217961919227,75.3685241032272,63.8122808799135,3634.16013132953,2434.43768823264,1.6,59.08200796,165.5254873,1,1521.5235551454,2434.43768823264,1.18926425540974,2047.011568
23,"Male",373.214340447981,75.1115441202712,63.4980180675287,3618.11157156241,2422.85333112096,1.6,58.92605744,165.4035229,1,1514.2833319506,2422.85333112096,1.17591342856187,2060.401108
24,"Male",371.835217234757,74.9819987051872,63.2881697699148,3608.18574612417,2415.33153565424,1.6,58.96650661,165.3738894,1,1509.5822097839,2415.33153565424,1.16578707459029,2071.846213
25,"Male",376.468551424901,76.0676902380713,64.0999138290671,3656.69123549744,2446.88307304096,1.6,61.42649994,165.3841898,1,1529.3019206506,2446.88307304096,1.17555095823551,2081.477673
26,"Male",375.376410092276,75.9979586827427,63.9347863957657,3649.63526431812,2441.22641444736,1.6,61.55907454,165.3938167,1,1525.7665090296,2441.22641444736,1.16836637772064,2089.435695
27,"Male",373.794879425791,75.8267706421235,63.6837699727818,3637.77635098558,2432.35553311808,1.6,61.52161262,165.3538077,1,1520.2222081988,2432.35553311808,1.16055067907265,2095.863263
28,"Male",372.021268341957,75.6128650904958,63.3974312341653,3623.96454545922,2422.19058363472,1.6,61.43785283,165.2583944,1,1513.8691147717,2422.19058363472,1.15292955917323,2100.900757
29,"Male",370.016799809658,75.3472589011391,63.0692192433945,3607.78985754812,2410.46940584144,1.6,61.28029491,165.1253172,1,1506.5433786509,2410.46940584144,1.14528918741629,2104.681885
30,"Male",372.133568288229,75.9169328611859,63.4412397143054,3631.69856482501,2425.551627404,1.6,62.81847475,164.9621127,1,1515.9697671275,2425.551627404,1.15100653849336,2107.330885
31,"Male",369.997446405606,75.6146203391342,63.0862474312404,3613.98682335806,2412.8663584568,1.6,62.62073395,164.7968547,1,1508.0414740355,2412.8663584568,1.14410200760217,2108.960864
32,"Male",368.333964806981,75.4030031281981,62.8100967677841,3600.73533736146,2403.20327519328,1.6,62.60640792,164.6406451,1,1502.0020469958,2403.20327519328,1.13913539237836,2109.673083
