,quantile
1,0.764088871
2,0.690561191
3,0.760857197
4,0.772859432
5,0.739542637
6,0.694294544
7,0.680539225
8,0.669799475
9,0.72632211
10,0.724157052
11,0.770854358
12,0.731199097
13,0.721779373
14,0.713710319
15,0.73577521
16,0.778923988
17,0.715475174
18,0.657368244
19,0.693349353
20,0.656398928
21,0.734343628
22,0.701772975
23,0.707757701
24,0.659087142
25,0.755964956
26,0.696072926
27,0.744046738
28,0.708055751
29,0.664050286
30,0.661725551
31,0.760245727
32,0.682524365
33,0.742366477
34,0.758132517
35,0.66273151
36,0.760235573
37,0.707577229
38,0.693287414
39,0.704924183
40,0.705616362
41,0.678816529
42,0.690775454
43,0.749383505
44,0.70166974
45,0.700596003
46,0.696598582
47,0.663789634
48,0.711076292
49,0.706365517
50,0.73558722
51,0.714611174
52,0.697362955
53,0.730188791
54,0.685344766
55,0.668281954
56,0.697304221
57,0.670753677
58,0.683745478
59,0.753334908
60,0.723044568
61,0.712691401
62,0.77998972
63,0.776041937
64,0.68355452
65,0.776753472
66,0.749909359
67,0.765499813
68,0.725350556
69,0.655585327
70,0.75553775
71,0.711988354
72,0.745671497
73,0.677619815
74,0.713952553
75,0.70746545
76,0.760183235
77,0.682596237
78,0.779439338
79,0.663051059
80,0.706589243
81,0.731894854
82,0.777087046
83,0.704287477
84,0.681255667
85,0.734011507
86,0.657402689
87,0.694310697
88,0.767749147
89,0.684952439
90,0.65692448
91,0.752987281
92,0.690738943
93,0.718941738
94,0.665795807
95,0.707655408
96,0.659118983
97,0.767297271
98,0.700013802
99,0.673928745
100,0.726586212
101,0.77369657
102,0.678352364
103,0.722133161
104,0.756548369
105,0.71113104
106,0.71300898
107,0.714394591
108,0.693073979
109,0.675463675
110,0.768019442
111,0.728294709
112,0.688111263
113,0.766084787
114,0.718446847
115,0.707347669
116,0.685265372
117,0.78140759
118,0.656037446
119,0.711139122
120,0.709627449
121,0.665910266
122,0.744423221
123,0.68474521
124,0.681274315
125,0.741728209
126,0.712794365
127,0.708103163
128,0.688788697
129,0.752825844
130,0.738889727
131,0.688298774
132,0.7434535
133,0.737873358
134,0.658705279
135,0.76593418
136,0.678053095
137,0.706150761
138,0.768478391
139,0.691881382
140,0.715586559
141,0.688054442
142,0.724497928
143,0.698731018
144,0.709895485
145,0.757550365
146,0.694975607
147,0.666915927
148,0.781745329
149,0.670554322
150,0.703930054
151,0.68462998
152,0.734793191
153,0.773438871
154,0.719465404
155,0.659488492
156,0.762847573
157,0.748678555
158,0.763014873
159,0.739337099
160,0.703447532
161,0.755462769
162,0.778465131
163,0.78051415
164,0.658000642
165,0.766508974
166,0.676707192
167,0.730195603
168,0.716941641
169,0.759358462
170,0.750881887
171,0.762294163
172,0.737441907
173,0.734958364
174,0.769733344
175,0.720442974
176,0.745040974
177,0.737015975
178,0.733294769
179,0.664938399
180,0.678385042
181,0.715934993
182,0.723327641
183,0.750140387
184,0.666900924
185,0.663239889
186,0.709947892
187,0.674931115
188,0.710308366
189,0.743283017
190,0.779370004
191,0.681295787
192,0.739053654
193,0.762231949
194,0.781843182
195,0.662902222
196,0.659686702
197,0.663841206
198,0.725374545
199,0.684870013
200,0.689335735
201,0.667480229
202,0.721808258
203,0.731253813
204,0.768967173
205,0.673513149
206,0.757696755
207,0.727323997
208,0.722865237
209,0.761193037
210,0.724716063
211,0.741208307
212,0.782006945
213,0.764780027
214,0.691155414
215,0.729646769
216,0.747549103
217,0.676574658
218,0.76587146
219,0.773344466
220,0.756591768
221,0.734975694
222,0.76620586
223,0.71881618
224,0.66689846
225,0.712716193
226,0.780443877
227,0.657901443
228,0.714891574
229,0.710837518
230,0.719382946
231,0.77372155
232,0.659347756
233,0.779241917
234,0.678242099
235,0.688546851
236,0.684872199
237,0.736320647
238,0.710348263
239,0.767229261
240,0.744084757
241,0.709395255
242,0.761555902
243,0.709805346
244,0.70477827
245,0.747103953
246,0.753361405
247,0.698037316
248,0.661679968
249,0.722708623
250,0.728239675
251,0.738502438
252,0.725063376
253,0.737767516
254,0.693025354
255,0.679104907
256,0.757466026
257,0.755444544
258,0.671657753
259,0.705171167
260,0.713653823
261,0.752019063
262,0.732635757
263,0.737180064
264,0.726647212
265,0.772716484
266,0.669810856
267,0.659304183
268,0.655384861
269,0.66547435
270,0.655945611
271,0.751064631
272,0.781100258
273,0.66929873
274,0.716459011
275,0.760993877
276,0.733117586
277,0.689727347
278,0.704457594
279,0.77543093
280,0.722212886
281,0.741671218
282,0.76692403
283,0.707184082
284,0.751482722
285,0.677588746
286,0.747756293
287,0.669059454
288,0.694762981
289,0.679398539
290,0.713844931
291,0.745324424
292,0.720834505
293,0.728442441
294,0.751299536
295,0.677069557
296,0.737738203
297,0.742985181
298,0.659678671
299,0.722799015
300,0.658247549
301,0.660563559
302,0.68396869
303,0.666940606
304,0.707825014
305,0.658729128
306,0.667219942
307,0.708805052
308,0.703438616
309,0.778271226
310,0.765088735
311,0.737991146
312,0.695627038
313,0.77288984
314,0.732366438
315,0.680931564
316,0.777523754
317,0.736958177
318,0.677927474
319,0.70386296
320,0.668951137
321,0.754299958
322,0.682483552
323,0.750081583
324,0.678645742
325,0.6962856
326,0.736990187
327,0.765301312
328,0.719860596
329,0.721373734
330,0.777415406
331,0.760602591
332,0.731136979
333,0.77008056
334,0.676729163
335,0.72031175
336,0.71947422
337,0.699086524
338,0.661261639
339,0.719129858
340,0.746702026
341,0.697228519
342,0.751510789
343,0.670733813
344,0.713286553
345,0.703429381
346,0.681222505
347,0.669057351
348,0.708057317
349,0.674430258
350,0.758365772
351,0.759971286
352,0.733808342
353,0.757093896
354,0.723125406
355,0.697496945
356,0.698000181
357,0.75829743
358,0.716105184
359,0.675124829
360,0.766845655
361,0.684403625
362,0.775797551
363,0.708480081
364,0.751797447
365,0.757940554
366,0.659607117
367,0.695540964
368,0.710456982
369,0.774323065
370,0.73567452
371,0.737187311
372,0.709855408
373,0.718703059
374,0.724528758
375,0.71630659
376,0.712099637
377,0.763185538
378,0.776552128
379,0.767847584
380,0.658577168
381,0.727284104
382,0.69232825
383,0.719846124
384,0.755494931
385,0.666385065
386,0.758896101
387,0.726354457
388,0.668945886
389,0.762859823
390,0.741540192
391,0.6949531
392,0.68465271
393,0.757454957
394,0.692633316
395,0.667510281
396,0.71648414
397,0.761206804
398,0.760165167
399,0.725073041
400,0.738617258
401,0.774759201
402,0.777671048
403,0.703433289
404,0.692496196
405,0.769060254
406,0.741948494
407,0.713983873
408,0.670050664
409,0.662730467
410,0.711510248
411,0.772330752
412,0.766556759
413,0.718574178
414,0.66847253
415,0.674815011
416,0.672874381
417,0.763708032
418,0.689045489
419,0.732967355
420,0.699873914
421,0.753512442
422,0.678932723
423,0.703190772
424,0.663701055
425,0.70285181
426,0.655761291
427,0.705650807
428,0.684896903
429,0.759453294
430,0.765153615
431,0.695304136
432,0.695833729
433,0.766262266
434,0.665183553
435,0.749378974
436,0.684303758
437,0.745483175
438,0.747741175
439,0.69993969
440,0.726135359
441,0.663037002
442,0.74739176
443,0.69409331
444,0.66408196
445,0.765521804
446,0.742455185
447,0.738497855
448,0.660914551
449,0.750781223
450,0.750822637
451,0.778888607
452,0.6709394
453,0.667531337
454,0.778992873
455,0.752920923
456,0.676732589
457,0.751397323
458,0.778318778
459,0.69578576
460,0.736475941
461,0.683800554
462,0.67866502
463,0.673627682
464,0.733114847
465,0.670962203
466,0.701060682
467,0.69085104
468,0.752304969
469,0.756265324
470,0.774130671
471,0.697045566
472,0.726859738
473,0.720543649
474,0.737267008
475,0.715948621
476,0.770675169
477,0.670931542
478,0.75608048
479,0.780576028
480,0.692835805
481,0.762583361
482,0.714474056
483,0.766478546
484,0.672259873
485,0.779739697
486,0.681517621
487,0.766825988
488,0.76949314
489,0.741242085
490,0.726224948
491,0.677001967
492,0.677712806
493,0.710394898
494,0.72395833
495,0.77665532
496,0.737815509
497,0.672064577
498,0.682216844
499,0.763444902
500,0.747793681
501,0.703776127
502,0.743756672
503,0.730303376
504,0.732575898
505,0.658373545
506,0.681988765
507,0.75935683
508,0.752589087
509,0.740153952
510,0.718189456
511,0.753162512
512,0.707882441
513,0.750640546
514,0.697073422
515,0.751254392
516,0.716381146
517,0.726006497
518,0.728198753
519,0.702135608
520,0.734847571
521,0.668609448
522,0.75478612
523,0.736787562
524,0.703286304
525,0.665417581
526,0.681421098
527,0.708272583
528,0.734239207
529,0.674504097
530,0.669761297
531,0.70256307
532,0.706087849
533,0.680087957
534,0.733894085
535,0.7476978
536,0.735155832
537,0.777351202
538,0.758061648
539,0.731084846
540,0.753508778
541,0.690899159
542,0.74587924
543,0.659744044
544,0.699232885
545,0.69502505
546,0.670552018
547,0.678549357
548,0.696327322
549,0.693089736
550,0.680805276
551,0.662872395
552,0.714887751
553,0.703917461
554,0.779909939
555,0.717057498
556,0.660506143
557,0.746879535
558,0.689808348
559,0.777501846
560,0.752880613
561,0.692240861
562,0.711773293
563,0.762092305
564,0.707759275
565,0.670852632
566,0.733535677
567,0.697460452
568,0.776908969
569,0.71262981
570,0.772184973
571,0.759034573
572,0.742703084
573,0.767315266
574,0.687832975
575,0.669798574
576,0.72095462
577,0.657525497
578,0.697954416
579,0.663621617
