,quantile
1,0.71109407
2,0.678369341
3,0.675514026
4,0.700065146
5,0.692981774
6,0.671212039
7,0.768283442
8,0.781301088
9,0.680922755
10,0.710445702
11,0.792880427
12,0.705006817
13,0.727022925
14,0.788505559
15,0.771925003
16,0.67380271
17,0.779198024
18,0.678083345
19,0.71681138
20,0.732313694
21,0.697824798
22,0.777638914
23,0.771226018
24,0.760340102
25,0.690070842
26,0.675880543
27,0.792541334
28,0.705817799
29,0.754810548
30,0.698143043
31,0.672336554
32,0.787501571
33,0.753003743
34,0.728385386
35,0.693026843
36,0.696592602
37,0.759154782
38,0.672601102
39,0.752135923
40,0.749672844
41,0.753714171
42,0.682006094
43,0.735614981
44,0.71190204
45,0.776364308
46,0.740967867
47,0.760328027
48,0.792009337
49,0.726971193
50,0.761793906
51,0.726276215
52,0.718098906
53,0.76549043
54,0.691378304
55,0.702497108
56,0.753772668
57,0.731347351
58,0.735288385
59,0.769888935
60,0.735746596
61,0.727614768
62,0.71509668
63,0.78013162
64,0.748271377
65,0.760365211
66,0.715628227
67,0.746681319
68,0.686147779
69,0.735199627
70,0.728547739
71,0.671883587
72,0.708188563
73,0.778671109
74,0.752450107
75,0.705538016
76,0.777717987
77,0.77154722
78,0.767148687
79,0.693346141
80,0.703560417
81,0.676378028
82,0.775978831
83,0.753692009
84,0.784389602
85,0.777053563
86,0.79051004
87,0.672323472
88,0.77437235
89,0.69895673
90,0.744250975
91,0.731877625
92,0.782457336
93,0.760990016
94,0.686330404
95,0.738511391
96,0.751540997
97,0.730146127
98,0.722960509
99,0.780012782
100,0.773340812
101,0.672717577
102,0.780258047
103,0.684953556
104,0.680752904
105,0.672450118
106,0.772869518
107,0.780702728
108,0.783720684
109,0.676321664
110,0.693657844
111,0.792913726
112,0.721063801
113,0.717888854
114,0.67035415
115,0.791484346
116,0.672448894
117,0.686033038
118,0.723949835
119,0.783775724
120,0.668747354
121,0.769212999
122,0.739425899
123,0.731491658
124,0.762886675
125,0.720264566
126,0.711831435
127,0.732780134
128,0.71642775
129,0.754024775
130,0.759535313
131,0.749680021
132,0.703351466
133,0.670456153
134,0.769370958
135,0.785505238
136,0.732670758
137,0.755561196
138,0.697939882
139,0.671331152
140,0.786399407
141,0.767405447
142,0.744722561
143,0.71670653
144,0.668343576
145,0.766865107
146,0.688281955
147,0.76460351
148,0.696220076
149,0.768037091
150,0.735374629
151,0.703564985
152,0.732376344
153,0.735717123
154,0.751710374
155,0.699548958
156,0.732761798
157,0.778110371
158,0.773419462
159,0.677410899
160,0.67614507
161,0.689718982
162,0.724063039
163,0.792170234
