source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
intervention,1,2010,male,0,393,0,0,0,1,-0.0657276,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.908397,0.0508906,0.0407125,0.0916031,0,0,0
intervention,1,2010,female,0,377,0,0,0,0,0.0547768,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.920424,0.0371353,0.0424403,0.0795756,0,0,0
intervention,1,2010,male,1,391,1,1,1,1,0.0253416,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0613811,0,0,0,0,0.0252295,0,0,0.887468,0.0485934,0.0639386,0.112532,0,2522.95,2522.95
intervention,1,2010,female,1,375,1,1,1,0,0.0401476,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0213333,0,0,0.0106667,0,0.0274284,0,0,0.856,0.0746667,0.0693333,0.144,0,2742.84,2742.84
intervention,1,2010,male,2,390,2,4,8,1,0.0263801,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0538462,0,0,0.00512821,0,0.0252295,0,0,0.812821,0.0897436,0.0974359,0.187179,0,2522.95,2522.95
intervention,1,2010,female,2,373,2,4,8,0,-0.0513844,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0509383,0,0,0.0107239,0,0.0274284,0,0,0.836461,0.0857909,0.077748,0.163539,0,2742.84,2742.84
intervention,1,2010,male,3,392,3,9,27,1,-0.0313988,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0433673,0,0,0.0127551,0,0.0252295,0,0,0.686224,0.135204,0.178571,0.313776,0,2522.95,2522.95
intervention,1,2010,female,3,374,3,9,27,0,-0.0395457,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0374332,0,0,0.0106952,0,0.0274284,0,0,0.716578,0.122995,0.160428,0.283422,0,2742.84,2742.84
intervention,1,2010,male,4,392,4,16,64,1,-0.0542534,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0459184,0,0,0.00765306,0,0.0252295,0,0,0.632653,0.130102,0.237245,0.367347,0,2522.95,2522.95
intervention,1,2010,female,4,375,4,16,64,0,0.0634251,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.064,0,0,0.0133333,0,0.0274284,0,0,0.570667,0.221333,0.208,0.429333,0,2742.84,2742.84
intervention,1,2010,male,5,388,5,25,125,1,0.0231948,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0618557,0,0,0.0154639,0,0.0319848,0,0,0.484536,0.219072,0.296392,0.515464,0,3198.48,3198.48
intervention,1,2010,female,5,370,5,25,125,0,0.0314486,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0324324,0,0,0.0216216,0,0.03555,0,0,0.518919,0.232432,0.248649,0.481081,0,3555,3555
intervention,1,2010,male,6,386,6,36,216,1,-0.064995,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0544041,0,0,0.00777202,0,0.0319848,0,0,0.502591,0.23057,0.266839,0.497409,0,3198.48,3198.48
intervention,1,2010,female,6,369,6,36,216,0,0.0353847,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0487805,0,0,0.0271003,0,0.03555,0,0,0.512195,0.292683,0.195122,0.487805,0,3555,3555
intervention,1,2010,male,7,387,7,49,343,1,-0.0424262,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0671835,0,0,0.0232558,0,0.0319848,0,0,0.475452,0.315245,0.209302,0.524548,0,3198.48,3198.48
intervention,1,2010,female,7,370,7,49,343,0,-0.042834,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0405405,0,0,0.0135135,0,0.03555,0,0,0.527027,0.305405,0.167568,0.472973,0,3555,3555
intervention,1,2010,male,8,392,8,64,512,1,0.126254,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0586735,0,0,0.0204082,0,0.0319848,0,0,0.520408,0.308673,0.170918,0.479592,0,3198.48,3198.48
intervention,1,2010,female,8,375,8,64,512,0,-0.0128359,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.0533333,0,0,0.0266667,0,0.03555,0,0,0.570667,0.314667,0.114667,0.429333,0,3555,3555
intervention,1,2010,male,9,399,9,81,729,1,0.0142154,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.0576441,0,0,0.0175439,0,0.0319848,0,0,0.556391,0.325815,0.117794,0.443609,0,3198.48,3198.48
intervention,1,2010,female,9,381,9,81,729,0,0.0517285,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0498688,0,0,0.0288714,0,0.03555,0,0,0.614173,0.296588,0.0892388,0.385827,0,3555,3555
intervention,1,2010,male,10,398,10,100,1000,1,-0.0110601,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0452261,0,0,0.0251256,0,0.0489486,0,0,0.615578,0.31407,0.0703518,0.384422,0,4894.86,4894.86
intervention,1,2010,female,10,379,10,100,1000,0,0.0617327,147.07,100.127,3.19378,3170.52,2333.51,18.5438,0,0.0422164,0,0,0.0290237,0,0.0622047,0,0,0.649077,0.287599,0.0633245,0.350923,0,6220.47,6220.47
